23	4	18	18	21	1	19	7	5	7	6	9	4	12	16	11	5	20	15	8	2	18	7	5	18	13	8	8	7	5	4	13	9	4	21	15	20	1	4	15	13	20	11	4	15	1	5	20	22	21	10	2	15	2	18	9	4	3	13	3	23	8	0	7	8	13	7	23	18	19	19	9	15	20	11	13	10	9	18	19	20	10	16	16	9	13	16	7	4	1	18	6	1	1	4	1	13	10	15	7
11	3	11	20	13	8	20	9	1	13	22	17	16	20	3	23	7	22	23	20	6	20	4	7	7	15	19	18	5	10	18	1	3	11	2	17	11	9	12	0	11	7	17	19	9	6	17	21	8	9	13	22	20	23	17	8	9	4	13	20	17	13	15	20	4	2	16	6	4	3	17	7	5	3	6	22	22	13	15	16	18	4	19	22	21	10	7	14	13	0	14	22	4	9	3	1	9	10	21	0
8	19	15	12	14	20	10	20	8	16	2	9	13	5	15	21	6	1	2	22	14	8	6	1	7	6	7	2	9	3	8	9	17	9	7	18	7	2	8	6	5	0	2	0	8	23	0	9	22	3	12	22	4	18	6	3	21	9	23	16	7	19	10	11	15	4	20	18	4	10	3	5	1	4	20	15	13	0	14	22	12	16	20	4	11	3	9	14	12	13	5	23	6	10	22	3	2	12	4	20
19	15	19	14	4	8	22	16	2	18	9	7	8	11	18	13	12	23	9	18	2	15	21	20	20	21	11	20	15	4	23	9	8	11	5	12	3	15	12	10	5	3	11	7	14	21	0	17	20	23	21	19	3	19	2	6	1	11	20	11	11	16	19	6	17	0	23	12	2	21	9	21	1	11	5	19	7	21	13	7	10	15	10	3	21	10	22	9	15	20	7	6	8	5	5	1	1	22	18	16
3	0	12	6	2	16	14	21	12	22	11	7	14	18	15	9	3	19	0	21	13	11	22	6	9	15	18	15	4	10	12	11	19	7	0	1	0	16	6	14	15	5	4	9	10	2	18	23	7	12	9	16	20	8	14	11	18	12	4	22	6	1	2	1	7	0	1	0	23	3	7	8	15	6	10	16	21	5	1	8	20	16	21	10	22	21	1	11	13	10	5	15	13	21	8	4	23	17	14	12
23	9	13	18	11	13	8	12	19	8	20	19	13	6	0	11	0	15	8	13	6	21	20	13	23	22	13	21	0	13	22	20	0	8	1	21	19	23	6	19	1	15	10	14	10	0	12	1	7	12	18	12	11	9	2	18	0	19	7	8	2	12	4	5	5	5	5	7	5	23	17	0	7	18	19	18	15	13	18	3	6	3	16	6	17	3	15	8	8	18	4	0	8	21	19	3	19	8	8	14
2	10	15	6	18	3	20	7	20	17	8	9	19	18	21	1	14	19	21	11	2	0	21	16	15	3	15	1	15	6	11	7	0	9	1	11	8	20	1	21	17	16	10	1	5	8	16	6	22	21	19	12	5	21	9	15	0	15	9	4	4	4	1	10	9	10	15	2	19	7	8	16	16	12	2	4	10	21	13	23	11	16	10	9	23	1	4	22	21	14	5	11	7	11	4	16	17	17	22	3
10	8	12	10	22	18	5	12	10	6	22	3	3	1	7	18	1	7	8	16	14	4	9	2	11	3	16	10	13	17	6	0	20	4	16	17	21	5	11	0	6	18	2	2	3	14	21	22	6	3	6	9	9	9	11	9	2	7	13	20	23	19	0	11	20	2	8	20	19	14	13	5	9	2	6	7	13	10	2	1	2	21	19	2	11	11	10	13	11	18	7	2	8	10	3	18	12	16	0	15
0	5	15	2	3	13	3	18	4	22	12	20	19	23	6	3	18	16	21	18	21	11	4	10	21	16	11	21	6	16	11	8	23	19	17	6	13	18	22	11	12	2	12	8	19	16	8	7	15	8	16	8	7	11	14	11	23	4	10	23	14	19	11	4	9	19	21	17	12	11	22	18	20	9	4	12	15	4	2	8	23	0	14	16	11	13	6	3	4	21	16	1	23	0	20	23	11	14	22	3
14	12	22	3	17	17	17	13	11	11	23	9	20	11	17	13	9	16	7	5	1	10	20	0	21	2	17	6	16	10	4	20	20	23	0	15	7	20	23	7	5	12	22	12	6	15	12	21	11	17	3	21	17	3	23	16	21	2	3	17	9	0	6	5	11	16	2	21	8	4	22	6	6	18	15	3	17	0	16	23	3	2	13	21	17	18	17	12	4	4	17	18	15	22	7	23	21	8	20	6
